Country,Capital,Capital_Latitude,Capital_Longitude,Timezone,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
Cuba,Havana,23.11666667,-82.35,America/Havana,1563696003,Partly Cloudy,partly-cloudy-night,90,2,0,0,73.65,75,70.92,0.91,1014.79,5.67,9.97,98,0.42,0
,,,,,,,,,,,,,,,,,,,,,
Curaçao,Willemstad,12.1,-68.916667,America/Curacao,1563696006,Partly Cloudy,partly-cloudy-night,0,0,80.95,85.17,71.77,0.74,1011.77,14.67,26.53,120,0.49,0,6.212,278.8
,,,,,,,,,,,,,,,,,,,,,
Cyprus,Nicosia,35.16666667,33.366667,Asia/Nicosia,1563696030,Clear,clear-day,0,0,92.6,92.6,54.67,0.28,1008.25,8.21,9.19,344,0,9,6.223,292.3
,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Prague,50.08333333,14.466667,Europe/Prague,1563696032,Mostly Cloudy,partly-cloudy-day,0,0.007,0.08,rain,67.85,68.16,61.91,0.81,1018.75,8.98,9.94,185,0.81,3
,,,,,,,,,,,,,,,,,,,,,
Denmark,Copenhagen,55.66666667,12.583333,Europe/Copenhagen,1563696033,Mostly Cloudy,partly-cloudy-day,0,0.002,0.08,rain,67.43,67.68,61.36,0.81,1012.55,9.39,16.49,230,0.56,3
,,,,,,,,,,,,,,,,,,,,,
Djibouti,Djibouti,11.58333333,43.15,Africa/Djibouti,1563696036,Humid and Mostly Cloudy,partly-cloudy-day,0,0,97.73,107.51,72.41,0.44,1002.52,12.29,12.61,108,0.75,6,6.225,275
,,,,,,,,,,,,,,,,,,,,,
Dominica,Roseau,15.3,-61.4,America/Dominica,1563696038,Humid and Partly Cloudy,partly-cloudy-night,0,0.006,0.11,rain,79.61,83.67,73.75,0.82,1013.99,13.5,15.94,83,0.41,0
,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Santo Domingo,18.46666667,-69.9,America/Santo_Domingo,1563696040,Humid and Partly Cloudy,partly-cloudy-night,0,0,74.01,75.61,72.71,0.96,1014.81,5.94,8.85,1,0.3,0,10,284.2
,,,,,,,,,,,,,,,,,,,,,
Ecuador,Quito,-0.216666667,-78.5,America/Guayaquil,1563696042,Mostly Cloudy,partly-cloudy-night,0,0,51.33,51.33,48.26,0.89,1011.18,2.72,6.17,4,0.75,0,7.357,257.2
,,,,,,,,,,,,,,,,,,,,,
Egypt,Cairo,30.05,31.25,Africa/Cairo,1563696044,Partly Cloudy,partly-cloudy-day,0,0,87.45,89.01,64.45,0.47,1011.27,8.6,11.01,328,0.4,7,6.227,293.3
,,,,,,,,,,,,,,,,,,,,,
El Salvador,San Salvador,13.7,-89.2,America/El_Salvador,1563696049,Mostly Cloudy,partly-cloudy-night,0,0,68.49,69.74,68.49,1,1011.31,2.2,9.99,52,0.85,0,6.228,280.5
,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Malabo,3.75,8.783333,Africa/Malabo,1563696052,Partly Cloudy,partly-cloudy-day,0,0.004,0.11,rain,77.08,78.44,71.94,0.84,1015.12,5.32,6.19,335,0.44,3
,,,,,,,,,,,,,,,,,,,,,
Eritrea,Asmara,15.33333333,38.933333,Africa/Asmara,1563696058,Mostly Cloudy,partly-cloudy-day,0,0.022,0.07,rain,72.07,72.07,50.87,0.47,1006.83,5.92,13.16,338,0.7,7
,,,,,,,,,,,,,,,,,,,,,
Estonia,Tallinn,59.43333333,24.716667,Europe/Tallinn,1563696060,Clear,clear-day,0,0,76.21,76.21,54.4,0.47,1017.28,5.4,5.4,283,0,4,6.231,337.5
,,,,,,,,,,,,,,,,,,,,,
Ethiopia,Addis Ababa,9.033333333,38.7,Africa/Addis_Ababa,1563696062,Mostly Cloudy,partly-cloudy-day,0,0.01,0.09,rain,66.26,66.26,55.33,0.68,1010.89,7.5,7.5,245,0.69,7
,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,Stanley,-51.7,-57.85,Atlantic/Stanley,1563696064,Partly Cloudy,partly-cloudy-night,0,0,38.47,29.22,36.11,0.91,994.08,17.16,26.43,336,0.34,0,10,287.9
,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,Torshavn,62,-6.766667,Atlantic/Faroe,1563696067,Mostly Cloudy,partly-cloudy-day,0,0,52.94,52.94,50.47,0.91,1004.23,2.59,8.53,231,0.68,1,6.232,361.2
,,,,,,,,,,,,,,,,,,,,,
Fiji,Suva,-18.13333333,178.416667,Pacific/Fiji,1563696069,Mostly Cloudy,partly-cloudy-night,0,0.001,0.05,rain,72.25,73.19,67.66,0.86,1011.8,0,15.64,21,0.68,0
,,,,,,,,,,,,,,,,,,,,,
Finland,Helsinki,60.16666667,24.933333,Europe/Helsinki,1563696070,Clear,clear-day,0,0,74.14,74.14,57.12,0.55,1017.22,4.25,4.58,149,0,4,6.233,336
,,,,,,,,,,,,,,,,,,,,,
France,Paris,48.86666667,2.333333,Europe/Paris,1563696071,Mostly Cloudy,partly-cloudy-day,0,0,69.77,69.77,55.44,0.6,1022.16,4.54,6.29,293,0.53,2,6.234,330.8
,,,,,,,,,,,,,,,,,,,,,
French Polynesia,Papeete,-17.53333333,-149.566667,Pacific/Tahiti,1563696073,Partly Cloudy,partly-cloudy-night,0,0,71.27,71.74,63.83,0.77,1015.05,4.14,21.58,105,0.18,0,6.234,255.5
,,,,,,,,,,,,,,,,,,,,,
Gabon,Libreville,0.383333333,9.45,Africa/Libreville,1563696074,Humid and Overcast,cloudy,0,0.009,0.09,rain,75.52,77.39,74.97,0.98,1015.76,4.17,8.96,102,0.91,3
,,,,,,,,,,,,,,,,,,,,,
The Gambia,Banjul,13.45,-16.566667,Africa/Banjul,1563696076,Humid and Mostly Cloudy,partly-cloudy-day,0,0,78.69,81.89,73.73,0.85,1013.83,4.69,5.24,90,0.54,1,6.235,278.2
,,,,,,,,,,,,,,,,,,,,,
Georgia,Tbilisi,41.68333333,44.833333,Asia/Tbilisi,1563696077,Clear,clear-day,0,0,89.38,89.38,55.04,0.31,1013.94,8.29,20.09,134,0.01,10,10,282
,,,,,,,,,,,,,,,,,,,,,
Germany,Berlin,52.51666667,13.4,Europe/Berlin,1563696079,Mostly Cloudy,partly-cloudy-day,0,0,69.43,69.67,61.74,0.77,1016.5,13.55,17.22,331,0.79,3,6.236,348.8
,,,,,,,,,,,,,,,,,,,,,
Ghana,Accra,5.55,-0.216667,Africa/Accra,1563696080,Humid and Overcast,cloudy,0,0,0,79.82,84.27,74.31,0.83,1014.68,8.51,13.34,235,1,2,4.984
,,,,,,,,,,,,,,,,,,,,,
Gibraltar,Gibraltar,36.13333333,-5.35,Europe/Gibraltar,1563696082,Clear,clear-day,0,0,74.85,75.83,68.56,0.81,1017.33,4.2,6.12,163,0,2,6.236,312.4
,,,,,,,,,,,,,,,,,,,,,
Greece,Athens,37.98333333,23.733333,Europe/Athens,1563696083,Clear,clear-day,0,0,88.11,88.11,47.25,0.24,1016.97,11.33,25.05,0,0,7,6.237,313.9
,,,,,,,,,,,,,,,,,,,,,
