Country,Capital,Capital_Latitude,Capital_Longitude,Timezone,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
Iran,Tehran,35.7,51.416667,Asia/Tehran,1563695707,Partly Cloudy,partly-cloudy-day,0,0,99.01,99.01,37.48,0.12,1011.79,11.88,12.69,134,0.23,10,6.216,283.1
,,,,,,,,,,,,,,,,,,,,,
Iraq,Baghdad,33.33333333,44.4,Asia/Baghdad,1563695710,Clear,clear-day,0,0,104.82,105.79,59.29,0.23,1001.03,18.71,20.77,295,0,10,6.216,295
,,,,,,,,,,,,,,,,,,,,,
Ireland,Dublin,53.31666667,-6.233333,Europe/Dublin,1563695712,Mostly Cloudy,partly-cloudy-day,37,297,0,0,65.6,65.6,54.14,0.66,1015.01,11.61,16.24,210,0.82,1
,,,,,,,,,,,,,,,,,,,,,
Isle of Man,Douglas,54.15,-4.483333,Europe/Isle_of_Man,1563695714,Partly Cloudy,partly-cloudy-day,76,295,0,0,60.41,60.41,54.77,0.82,1015.29,7.86,17.4,218,0.2,2
,,,,,,,,,,,,,,,,,,,,,
Israel,Jerusalem,31.76666667,35.233333,Asia/Jerusalem,1563695716,Partly Cloudy,partly-cloudy-day,0,0,78.81,79.18,63.44,0.59,1010.15,0.01,6.58,288,0.26,8,6.216,286.9
,,,,,,,,,,,,,,,,,,,,,
Italy,Rome,41.9,12.483333,Europe/Rome,1563695719,Clear,clear-day,0,0,80.49,81.45,61.19,0.52,1020.6,2.51,4.12,179,0,4,6.216,321.1
,,,,,,,,,,,,,,,,,,,,,
Jamaica,Kingston,18,-76.8,America/Jamaica,1563695721,Partly Cloudy,partly-cloudy-night,0,0.001,0.03,rain,80.94,83.25,66.65,0.62,1013.85,3.85,8.75,319,0.27,0
,,,,,,,,,,,,,,,,,,,,,
Japan,Tokyo,35.68333333,139.75,Asia/Tokyo,1563695724,Humid and Partly Cloudy,partly-cloudy-day,0,0.002,0.15,rain,80.08,85.25,75.33,0.85,1013.94,7.1,16.33,122,0.44,1
,,,,,,,,,,,,,,,,,,,,,
Jersey,Saint Helier,49.18333333,-2.1,Europe/Jersey,1563695726,Partly Cloudy,partly-cloudy-day,102,333,0,0,65.81,66.03,60.74,0.84,1021.99,6.56,8.97,215,0.34,2
,,,,,,,,,,,,,,,,,,,,,
Jordan,Amman,31.95,35.933333,Asia/Amman,1563695728,Clear,clear-day,0,0,80.71,81.03,58.09,0.46,1009.66,11.27,11.27,288,0.04,9,3.425,287.4
,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Astana,51.16666667,71.416667,Asia/Almaty,1563695730,Partly Cloudy,partly-cloudy-day,0,0,87.23,87.23,52.91,0.31,1007.17,4.07,4.58,101,0.15,8,6.216,292.9
,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi,-1.283333333,36.816667,Africa/Nairobi,1563695732,Partly Cloudy,partly-cloudy-day,0,0.004,0.04,rain,68.08,68.08,55.31,0.64,1014.82,0.77,7.59,297,0.19,8
,,,,,,,,,,,,,,,,,,,,,
Kiribati,Tarawa,-0.883333333,169.533333,Pacific/Tarawa,1563695734,Humid and Partly Cloudy,partly-cloudy-night,0,0.016,0.12,rain,84.6,91.97,73.93,0.7,1008.38,6.27,9.3,113,0.48,0
,,,,,,,,,,,,,,,,,,,,,
North Korea,Pyongyang,39.01666667,125.75,Asia/Pyongyang,1563695736,Humid and Overcast,cloudy,0,0.004,0.21,rain,80.33,84.57,72.69,0.78,1001.69,5.84,13.42,319,1,2
,,,,,,,,,,,,,,,,,,,,,
South Korea,Seoul,37.55,126.983333,Asia/Seoul,1563695738,Humid and Mostly Cloudy,partly-cloudy-day,0,0.008,0.18,rain,78.18,79.64,72.88,0.84,1002.19,10.42,21.41,229,0.64,2
,,,,,,,,,,,,,,,,,,,,,
Kosovo,Pristina,42.66666667,21.166667,Europe/Belgrade,1563695740,Partly Cloudy,partly-cloudy-day,0,0,73.86,73.86,58.03,0.58,1020.26,0.02,2.59,150,0.19,5,6.216,315.7
,,,,,,,,,,,,,,,,,,,,,
Kuwait,Kuwait City,29.36666667,47.966667,Asia/Kuwait,1563695743,Clear,clear-day,0,0,107.82,107.82,51.97,0.16,999.18,15.16,16.2,350,0,11,6.216,296.1
,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Bishkek,42.86666667,74.6,Asia/Bishkek,1563695745,Partly Cloudy,partly-cloudy-day,0,0.001,0.01,rain,93,93,43.78,0.18,1007.67,12.55,15.98,295,0.26,9
,,,,,,,,,,,,,,,,,,,,,
Laos,Vientiane,17.96666667,102.6,Asia/Vientiane,1563695748,Humid and Partly Cloudy,partly-cloudy-day,0,0.01,0.07,rain,92.23,106.26,77.03,0.61,1004.37,2.03,4.8,330,0.44,6
,,,,,,,,,,,,,,,,,,,,,
Latvia,Riga,56.95,24.1,Europe/Riga,1563695750,Clear,clear-day,0,0,74.73,74.73,55.32,0.51,1017.22,5.84,8.93,132,0,4,6.216,332.9
,,,,,,,,,,,,,,,,,,,,,
Lebanon,Beirut,33.86666667,35.5,Asia/Beirut,1563695752,Humid and Partly Cloudy,partly-cloudy-day,0,0,84.33,91.41,73.74,0.71,1009.1,16.35,16.35,241,0.44,7,4.974,288.8
,,,,,,,,,,,,,,,,,,,,,
Lesotho,Maseru,-29.31666667,27.483333,Africa/Maseru,1563695754,Clear,clear-day,0,0,39.15,35.89,30.08,0.7,1032.16,4.5,8.57,12,0.04,2,6.216,286
,,,,,,,,,,,,,,,,,,,,,
Liberia,Monrovia,6.3,-10.8,Africa/Monrovia,1563695757,Humid and Foggy,fog,0,0.011,0.1,rain,75.11,76.85,73.98,0.96,1014.85,4.59,13.93,221,0.74,1
,,,,,,,,,,,,,,,,,,,,,
Libya,Tripoli,32.88333333,13.166667,Africa/Tripoli,1563695759,Clear,clear-day,0,0,80.21,81.88,64.32,0.58,1019.14,12.67,13.11,91,0,5,10,322.8
,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,Vaduz,47.13333333,9.516667,Europe/Vaduz,1563695761,Mostly Cloudy,partly-cloudy-day,0,0.022,0.17,rain,66.37,66.81,62.46,0.87,1022.21,2.76,6.03,141,0.65,3
,,,,,,,,,,,,,,,,,,,,,
Lithuania,Vilnius,54.68333333,25.316667,Europe/Vilnius,1563695763,Clear,clear-day,0,0,77.94,77.94,57.45,0.49,1017.13,6.41,7.6,223,0,5,6.216,333.6
,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Luxembourg,49.6,6.116667,Europe/Luxembourg,1563695765,Mostly Cloudy,partly-cloudy-day,0,0,70.57,70.57,54.83,0.57,1020.9,11.87,13.24,262,0.54,3,6.216,340
,,,,,,,,,,,,,,,,,,,,,
Macedonia,Skopje,42,21.433333,Europe/Skopje,1563695767,Clear,clear-day,0,0,78.34,78.53,61.56,0.56,1020.21,0,1.29,149,0,6,6.216,319.3
,,,,,,,,,,,,,,,,,,,,,
Madagascar,Antananarivo,-18.91666667,47.516667,Indian/Antananarivo,1563695770,Clear,clear-day,0,0,70.79,70.79,43.89,0.38,1016.09,12.03,20.16,304,0,7,6.216,257.2
,,,,,,,,,,,,,,,,,,,,,
Malawi,Lilongwe,-13.96666667,33.783333,Africa/Blantyre,1563695772,Clear,clear-day,0,0,72.03,72.03,45.78,0.39,1019.83,7.83,12.27,166,0.05,6,6.216,254.6
,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kuala Lumpur,3.166666667,101.7,Asia/Kuala_Lumpur,1563695775,Possible Light Rain and Humid,rain,0,0.085,0.31,rain,87.6,99.3,76.74,0.7,1006.83,7.07,7.07,194,0.81,4
,,,,,,,,,,,,,,,,,,,,,
Maldives,Male,4.166666667,73.5,Indian/Maldives,1563695778,Humid and Mostly Cloudy,partly-cloudy-day,0,0.006,0.04,rain,86.3,100.11,78.95,0.79,1007.32,17.85,19.74,314,0.77,7
,,,,,,,,,,,,,,,,,,,,,
Mali,Bamako,12.65,-8,Africa/Bamako,1563695779,Partly Cloudy,partly-cloudy-day,0,0,78.58,79.83,71.34,0.79,1012.32,5.57,6.85,199,0.22,1,6.216,274.4
,,,,,,,,,,,,,,,,,,,,,
Malta,Valletta,35.88333333,14.5,Europe/Malta,1563695782,Partly Cloudy,partly-cloudy-day,0,0,81.35,84.84,69.7,0.68,1019.92,5.39,5.67,80,0.19,5,6.216,317.1
,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,Majuro,7.1,171.383333,Pacific/Majuro,1563695784,Humid and Mostly Cloudy,partly-cloudy-night,0,0,84.66,93.75,75.8,0.75,1009.18,5.13,5.13,55,0.59,0,10,256.7
,,,,,,,,,,,,,,,,,,,,,
Mauritania,Nouakchott,18.06666667,-15.966667,Africa/Nouakchott,1563695787,Clear,clear-day,0,0,78.85,79.69,67.95,0.69,1013.5,9.57,12.06,236,0,1,10,281.4
,,,,,,,,,,,,,,,,,,,,,
Mauritius,Port Louis,-20.15,57.483333,Indian/Mauritius,1563695789,Clear,clear-day,0,0.001,0.03,rain,78.61,79.07,64.4,0.62,1016.29,8.99,10.07,39,0.06,7
,,,,,,,,,,,,,,,,,,,,,
Mexico,Mexico City,19.43333333,-99.133333,America/Mexico_City,1563695792,Mostly Cloudy,partly-cloudy-night,0,0.019,0.21,rain,60.17,60.17,49.79,0.69,1017.78,4.77,4.77,276,0.71,0
,,,,,,,,,,,,,,,,,,,,,
Federated States of Micronesia,Palikir,6.916666667,158.15,Pacific/Pohnpei,1563695794,Humid and Partly Cloudy,partly-cloudy-night,0,0.001,0.04,rain,77.66,79.68,76.66,0.97,1009.12,3.08,4.99,102,0.32,0
,,,,,,,,,,,,,,,,,,,,,
Moldova,Chisinau,47,28.85,Europe/Chisinau,1563695797,Clear,clear-day,0,0,80.45,82.23,64.8,0.59,1018.83,0.32,5.48,279,0.05,6,6.216,325.5
,,,,,,,,,,,,,,,,,,,,,
Monaco,Monaco,43.73333333,7.416667,Europe/Monaco,1563695799,Humid and Partly Cloudy,partly-cloudy-day,0,0,75.99,77.56,73.13,0.91,1020.28,4.75,4.93,80,0.47,3,6.216,318.8
,,,,,,,,,,,,,,,,,,,,,
Mongolia,Ulaanbaatar,47.91666667,106.916667,Asia/Ulaanbaatar,1563695801,Mostly Cloudy,partly-cloudy-day,0,0.002,0.05,rain,85.92,85.92,47.76,0.27,1000.58,7.87,7.87,167,0.63,4
,,,,,,,,,,,,,,,,,,,,,
Montenegro,Podgorica,42.43333333,19.266667,Europe/Podgorica,1563695803,Clear,clear-day,0,0,84.47,84.47,55.66,0.37,1020.2,4.72,4.72,69,0.01,5,6.22,314.2
,,,,,,,,,,,,,,,,,,,,,
Montserrat,Plymouth,16.7,-62.216667,America/Montserrat,1563695806,Humid and Partly Cloudy,partly-cloudy-night,0,0.002,0.1,rain,80.29,85.25,74.49,0.83,1014.48,15.45,18.81,90,0.38,0
,,,,,,,,,,,,,,,,,,,,,
Morocco,Rabat,34.01666667,-6.816667,Africa/Casablanca,1563695808,Mostly Cloudy,partly-cloudy-day,0,0,72.99,73.71,66.15,0.79,1017.29,0.18,7.89,330,0.69,2,3.108,310.9
,,,,,,,,,,,,,,,,,,,,,
Mozambique,Maputo,-25.95,32.583333,Africa/Maputo,1563695810,Clear,clear-day,0,0,66.65,66.65,39,0.36,1031.61,22.56,22.97,178,0.01,3,6.216,285.2
,,,,,,,,,,,,,,,,,,,,,
Namibia,Windhoek,-22.56666667,17.083333,Africa/Windhoek,1563695813,Clear,clear-day,0,0,50.89,50.89,4.41,0.15,1023.67,6,9.99,104,0,2,6.216,256.9
,,,,,,,,,,,,,,,,,,,,,
Nepal,Kathmandu,27.71666667,85.316667,Asia/Kathmandu,1563695815,Mostly Cloudy,partly-cloudy-day,0,0.057,0.18,rain,85,88.11,67.64,0.56,1004.3,6.04,6.04,264,0.69,7
,,,,,,,,,,,,,,,,,,,,,
Netherlands,Amsterdam,52.35,4.916667,Europe/Amsterdam,1563695817,Partly Cloudy,partly-cloudy-day,0,0,68.65,68.65,54.74,0.61,1018.96,14.75,14.82,303,0.29,3,6.216,345.7
,,,,,,,,,,,,,,,,,,,,,
New Caledonia,Noumea,-22.26666667,166.45,Pacific/Noumea,1563695819,Mostly Cloudy,partly-cloudy-night,0,0,0,65.82,65.82,54.68,0.67,1017.12,9.67,13.97,134,0.85,0,6.216
,,,,,,,,,,,,,,,,,,,,,
New Zealand,Wellington,-41.3,174.783333,Pacific/Auckland,1563695820,Possible Light Rain,rain,0,0.021,0.49,rain,50.35,50.35,48.29,0.93,1009.47,4.85,6.9,55,1,0
,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Managua,12.13333333,-86.25,America/Managua,1563695823,Humid and Partly Cloudy,partly-cloudy-night,0,0.001,0.04,rain,78.26,79.73,72.96,0.84,1009.62,7.82,24.16,89,0.37,0
,,,,,,,,,,,,,,,,,,,,,
Niger,Niamey,13.51666667,2.116667,Africa/Niamey,1563695824,Humid and Partly Cloudy,partly-cloudy-day,0,0,81.22,86.45,73.54,0.78,1012.7,6.54,11.43,208,0.19,3,2.175,274.6
,,,,,,,,,,,,,,,,,,,,,
Nigeria,Abuja,9.083333333,7.533333,Africa/Lagos,1563695826,Partly Cloudy,partly-cloudy-day,0,0,71.4,72.32,67.27,0.87,1014.96,5.69,5.69,206,0.14,4,6.216,273
,,,,,,,,,,,,,,,,,,,,,
Niue,Alofi,-19.01666667,-169.916667,Pacific/Niue,1563695828,Possible Light Rain and Humid,rain,0,0.032,0.49,rain,78.02,80.64,77.09,0.97,1008.97,8.12,27.26,312,0.95,0
,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,Kingston,-29.05,167.966667,Pacific/Norfolk,1563695830,Mostly Cloudy,partly-cloudy-night,0,0.001,0.12,rain,60.78,60.78,53.41,0.77,1017.47,14.27,21.64,180,0.75,0
,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,Saipan,15.2,145.75,Pacific/Saipan,1563695832,Humid,clear-day,0,0,83.94,92.11,75.27,0.75,1011.26,9.4,9.4,127,0.09,0,8.927,269.7
,,,,,,,,,,,,,,,,,,,,,
Norway,Oslo,59.91666667,10.75,Europe/Oslo,1563695833,Rain,rain,0,0.101,0.76,rain,61.45,61.54,58.56,0.9,1008.67,3.42,8.93,108,0.75,2
,,,,,,,,,,,,,,,,,,,,,
Oman,Muscat,23.61666667,58.583333,Asia/Muscat,1563695835,Humid,clear-day,0,0,89.83,104.42,78.08,0.69,1000.76,11.73,12.23,77,0.01,12,4.974,278
,,,,,,,,,,,,,,,,,,,,,
Pakistan,Islamabad,33.68333333,73.05,Asia/Karachi,1563695837,Partly Cloudy,partly-cloudy-day,0,0.001,0.04,rain,89.26,94.42,69.75,0.53,1002,4.88,5.06,137,0.45,8
,,,,,,,,,,,,,,,,,,,,,
Palau,Melekeok,7.483333333,134.633333,Pacific/Palau,1563695838,Humid and Mostly Cloudy,partly-cloudy-day,0,0.008,0.11,rain,86.11,95.46,75.3,0.7,1007.1,9.19,15.58,283,0.76,1
,,,,,,,,,,,,,,,,,,,,,
Panama,Panama City,8.966666667,-79.533333,America/Panama,1563695840,Humid and Partly Cloudy,partly-cloudy-night,0,0,0,76.73,78.57,75.18,0.95,1007.33,0,8.25,236,0.23,0,6.4
,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Port Moresby,-9.45,147.183333,Pacific/Port_Moresby,1563695842,Mostly Cloudy,partly-cloudy-day,0,0,79.13,82.33,71.97,0.79,1009.83,12.52,18.2,146,0.55,0,6.216,248.8
,,,,,,,,,,,,,,,,,,,,,
Paraguay,Asuncion,-25.26666667,-57.666667,America/Asuncion,1563695844,Partly Cloudy,partly-cloudy-night,0,0,71.95,71.95,59.02,0.64,1008.17,13.7,35.67,59,0.25,0,6.216,269.6
,,,,,,,,,,,,,,,,,,,,,
Peru,Lima,-12.05,-77.05,America/Lima,1563695846,Partly Cloudy,partly-cloudy-night,0,0,0,58.62,58.62,54.02,0.85,1013.48,4.79,6,125,0.38,0,5.643
,,,,,,,,,,,,,,,,,,,,,
Philippines,Manila,14.6,120.966667,Asia/Manila,1563695847,Humid and Mostly Cloudy,partly-cloudy-day,0,0.008,0.14,rain,86.68,97.06,75.99,0.71,1006.66,8.87,8.87,324,0.75,3
,,,,,,,,,,,,,,,,,,,,,
Pitcairn Islands,Adamstown,-25.06666667,-130.083333,Pacific/Pitcairn,1563695850,Mostly Cloudy,partly-cloudy-night,0,0.001,0.07,rain,63.85,63.85,54.34,0.71,1019.43,10.52,11.29,164,0.69,0
,,,,,,,,,,,,,,,,,,,,,
Poland,Warsaw,52.25,21,Europe/Warsaw,1563695851,Partly Cloudy,partly-cloudy-day,0,0,0,73.56,73.56,59.38,0.61,1015.28,5.23,10.05,223,0.36,4,6.216
,,,,,,,,,,,,,,,,,,,,,
Portugal,Lisbon,38.71666667,-9.133333,Europe/Lisbon,1563695853,Partly Cloudy,partly-cloudy-day,0,0,70.18,70.32,61.01,0.73,1019.12,9.55,19.32,343,0.19,2,6.216,314.2
,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,San Juan,18.46666667,-66.116667,America/Puerto_Rico,1563695854,Humid and Mostly Cloudy,partly-cloudy-night,13,313,0,0,79.77,83.95,73.68,0.82,1015.4,0.47,0.78,129,0.53,0
,,,,,,,,,,,,,,,,,,,,,
Qatar,Doha,25.28333333,51.533333,Asia/Qatar,1563695858,Clear,clear-day,0,0,100.82,108.31,69.41,0.37,999.67,7.37,7.37,52,0,12,5.289,282.7
,,,,,,,,,,,,,,,,,,,,,
Romania,Bucharest,44.43333333,26.1,Europe/Bucharest,1563695862,Clear,clear-day,0,0,81.54,83.5,65.46,0.58,1019.08,4.33,4.33,81,0,6,6.216,315.8
,,,,,,,,,,,,,,,,,,,,,
Russia,Moscow,55.75,37.6,Europe/Moscow,1563695864,Mostly Cloudy,partly-cloudy-day,0,0,68.01,68.01,56.49,0.67,1015.8,9.46,12.57,291,0.72,4,6.61,336.1
,,,,,,,,,,,,,,,,,,,,,
Rwanda,Kigali,-1.95,30.05,Africa/Kigali,1563695875,Partly Cloudy,partly-cloudy-day,0,0.003,0.06,rain,72.41,72.41,56.35,0.57,1013.79,3.73,7.66,155,0.26,7
,,,,,,,,,,,,,,,,,,,,,
Saint Barthelemy,Gustavia,17.88333333,-62.85,America/St_Barthelemy,1563695878,Partly Cloudy,partly-cloudy-night,0,0.007,0.11,rain,81.36,85.86,71.95,0.73,1014.93,8.24,19.25,78,0.3,0
,,,,,,,,,,,,,,,,,,,,,
Saint Helena,Jamestown,-15.93333333,-5.716667,Atlantic/St_Helena,1563695880,Partly Cloudy,partly-cloudy-day,0,0,66.91,66.95,59.73,0.78,1019.44,13.43,15.05,145,0.31,0,10,257.2
,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,Basseterre,17.3,-62.716667,America/St_Kitts,1563695883,Partly Cloudy,partly-cloudy-night,0,0.005,0.14,rain,78.64,79.69,69.7,0.74,1014.63,3.58,18.76,89,0.19,0
,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,Castries,14,-61,America/St_Vincent,1563695885,Humid and Partly Cloudy,partly-cloudy-night,0,0.001,0.06,rain,79.14,82.53,72.69,0.81,1013.85,14.33,20.26,110,0.45,0
,,,,,,,,,,,,,,,,,,,,,
Saint Pierre and Miquelon,Saint-Pierre,46.76666667,-56.183333,America/St_Johns,1563695887,Mostly Cloudy,partly-cloudy-night,0,0,0,54.01,54.01,51.83,0.92,1005.65,9.43,9.84,143,0.6,0,10
,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Kingstown,13.13333333,-61.216667,America/St_Vincent,1563695889,Humid and Partly Cloudy,partly-cloudy-night,0,0.005,0.11,rain,79.98,84.59,74.33,0.83,1013.19,13.6,18.18,80,0.22,0
,,,,,,,,,,,,,,,,,,,,,
Samoa,Apia,-13.81666667,-171.766667,Pacific/Apia,1563695891,Humid and Partly Cloudy,partly-cloudy-night,0,0,80.35,85.32,74.4,0.82,1010.53,5.29,8.92,61,0.29,0,6.216,244.4
,,,,,,,,,,,,,,,,,,,,,
San Marino,San Marino,43.93333333,12.416667,Europe/San_Marino,1563695893,Partly Cloudy,partly-cloudy-day,0,0,82.48,82.59,59.29,0.45,1019.61,2.67,6.16,135,0.42,4,6.216,318.4
,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,Sao Tome,0.333333333,6.733333,Africa/Sao_Tome,1563695898,Humid and Mostly Cloudy,partly-cloudy-day,0,0.004,0.05,rain,77.9,79.41,73.24,0.86,1015.79,3.32,6.66,184,0.58,2
,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Riyadh,24.65,46.7,Asia/Riyadh,1563695900,Clear,clear-day,0,0,104.69,104.69,39.43,0.11,1002.96,15.93,18.86,12,0.01,12,6.216,282.5
,,,,,,,,,,,,,,,,,,,,,
Senegal,Dakar,14.73333333,-17.633333,Africa/Dakar,1563695902,Humid and Partly Cloudy,partly-cloudy-day,0,0,77.22,78.77,73.34,0.88,1013.95,4.34,4.34,277,0.48,0,4.974,280.1
,,,,,,,,,,,,,,,,,,,,,
Serbia,Belgrade,44.83333333,20.5,Europe/Belgrade,1563695908,Clear,clear-day,0,0,85.07,85.7,62.23,0.46,1019.08,0,3.03,73,0.1,5,6.216,318.1
,,,,,,,,,,,,,,,,,,,,,
Seychelles,Victoria,-4.616666667,55.45,Indian/Mahe,1563695910,Humid and Partly Cloudy,partly-cloudy-day,0,0.001,0.05,rain,83.4,89.88,73.55,0.72,1011.74,8.38,13.4,144,0.13,10
,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Freetown,8.483333333,-13.233333,Africa/Freetown,1563695912,Partly Cloudy,partly-cloudy-day,0,0.001,0.07,rain,75.85,77.16,71.22,0.86,1014.22,8.59,8.59,123,0.16,1
,,,,,,,,,,,,,,,,,,,,,
Singapore,Singapore,1.283333333,103.85,Asia/Singapore,1563695915,Humid and Mostly Cloudy,partly-cloudy-day,0,0.002,0.05,rain,85.05,95.54,76.92,0.77,1006.9,11.05,11.28,203,0.71,4
,,,,,,,,,,,,,,,,,,,,,
Sint Maarten,Philipsburg,18.01666667,-63.033333,America/Lower_Princes,1563695930,Humid and Partly Cloudy,partly-cloudy-night,0,0.007,0.11,rain,82.05,87.41,72.88,0.74,1015.02,10.22,19.92,79,0.27,0
